DFX_ID,DATE,FXUSDCAD
0,2017-01-01,1.31927619
1,2017-02-01,1.310726316
2,2017-03-01,1.338643478
3,2017-04-01,1.344021053
4,2017-05-01,1.360704545
5,2017-06-01,1.329804545
6,2017-07-01,1.268875
7,2017-08-01,1.260477273
8,2017-09-01,1.22828
9,2017-10-01,1.260461905
10,2017-11-01,1.276885714
11,2017-12-01,1.277052632
12,2018-01-01,1.242740909
13,2018-02-01,1.258621053
14,2018-03-01,1.293171429
15,2018-04-01,1.273257143
16,2018-05-01,1.287327273
17,2018-06-01,1.312857143
18,2018-07-01,1.313009524
19,2018-08-01,1.304118182
20,2018-09-01,1.303652632
21,2018-10-01,1.300954545
22,2018-11-01,1.320038095
23,2018-12-01,1.343184211
24,2019-01-01,1.3301
25,2019-02-01,1.320557895
26,2019-03-01,1.336819048
27,2019-04-01,1.337771429
28,2019-05-01,1.345904545
29,2019-06-01,1.32873
30,2019-07-01,1.310104545
31,2019-08-01,1.327747619
32,2019-09-01,1.32405
33,2019-10-01,1.318977273
34,2019-11-01,1.32388
35,2019-12-01,1.31717
36,2020-01-01,1.308672727
37,2020-02-01,1.328584211
38,2020-03-01,1.39525
39,2020-04-01,1.405785714
40,2020-05-01,1.39697
41,2020-06-01,1.355031818
42,2020-07-01,1.34985
43,2020-08-01,1.322205
44,2020-09-01,1.322809524
45,2020-10-01,1.321471429
46,2020-11-01,1.30682
47,2020-12-01,1.280771429
48,2021-01-01,1.272405
49,2021-02-01,1.274461538
